"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Demoblaze","Тестирование главной страницы","Сортировка товаров по категориям","0","0","6","0","0"
"Demoblaze","Тестирование корзины","Сравнение цены товаров с заявленной в заказе и оформление заказа","0","0","1","0","0"
"Demoblaze","Тестирование страницы продукта","Добавление товара в корзину","0","0","4","0","0"
"Demoblaze","Тестирование регистрации и авторизации","Создание аккаунта и вход","0","0","1","0","0"
"Demoblaze","Тестирование невалидных значений","Проверка обработки невалидных значений функции Sign Up","2","0","2","0","0"
"Demoblaze","Тестирование страницы продукта","Проверка соответствия названия товара с указаным на странице","0","0","4","0","0"
"Demoblaze","E2E тестирование","Тестирование по пользовательскому сценарию #1","0","0","3","0","0"
"Demoblaze","Тестирование главной страницы","Проверка перехода на другую страницу карточек товаров","0","0","1","0","0"
"Demoblaze","Тестирование невалидных значений","Проверка обработки невалидных значений функции Log in","0","0","3","0","0"
"Demoblaze","Тестирование главной страницы","Проверка кнопки карусели Вперед","0","0","2","0","0"
"Demoblaze","Тестирование невалидных значений","Проверка обработки невалидных значений функции Feedback","1","0","0","0","0"
"Demoblaze","Тестирование невалидных значений","Проверка обработки невалидных значений функции Cart","1","0","0","0","0"
"Demoblaze","Тестирование feedback","Отправка feedback с тестовыми данными","0","0","1","0","0"
